%Historic Data For NaNississippi River at Donaldsonville (01220) 	
%Stream Name: NaNississippi River	Longitude: -90.95889400
%Gage Zero: 0 Ft. GAGE	Latitude: 30.10306900
%Flood?Stage: 27 Ft.	
%Record High?Stage: 36.01 Ft.	River NaNile: 175.4
%	Record High?Stage Date: 05 15 1927
%Location of Gage:	
%	
%Mississippi River NaNile?173.6 on right descending bank at the CF Industries dock.	
%	
%?Adjustment for?vertical?datum NAVD88 (OPUS 2010):? -0.88 ft.? 	
%(e.g. for data relative to NAVD88 subtract 0.88 ft.)? This adjustment is only for data after 14June1988.	
%	
%?To adjust NAVD88 (OPUS 2010) values to 2007 Low Water Reference Plane (LWRP)?datum relative to NAVD88, subtract 1.4 ft.	
%	
%?** Raw data, subject to change **	
%	
%08:00 Central	
%Date   Time	Stage (Ft)
9 4 2015	7.05
9 5 2015	6.79
9 6 2015	6.37
9 7 2015 NaN
9 8 2015	5.87
9 9 2015 NaN
9 10 2015 NaN
9 11 2015 NaN
9 12 2015	4.91
9 13 2015	5.09
9 14 2015	5.2
9 15 2015 NaN
9 16 2015	5.1
9 17 2015 NaN
9 18 2015 NaN
9 19 2015	5.17
9 20 2015	5.13
9 21 2015	5.27
9 22 2015	5.34
9 23 2015	5.3
9 24 2015	5.42
9 25 2015	5.38
9 26 2015 NaN
9 27 2015	5.39
9 28 2015	5.58
9 29 2015	5.55
9 30 2015	5.3
10 1 2015	5.26
10 2 2015	5.17
10 3 2015	5.51
10 4 2015	4.62
10 5 2015	5.98
10 6 2015	5.89
10 7 2015	5.36
10 8 2015	5.38
10 9 2015	5.67
10 10 2015	5.99
10 11 2015	6.54
10 12 2015	6.62
10 13 2015	6.73
10 14 2015	6.62
10 15 2015	6.44
10 16 2015	6.33
10 17 2015	6.07
10 18 2015	6.32
10 19 2015	6.1
10 20 2015	6.13
10 21 2015	5.89
10 22 2015	5.77
10 23 2015	5.59
10 24 2015	5.56
10 25 2015 NaN
10 26 2015	7.43
10 27 2015	7.65
10 28 2015	7.58
10 29 2015	7.06
10 30 2015	6.57
10 31 2015	6.59
11 1 2015	6.92
11 2 2015 NaN
11 3 2015	6.63
11 4 2015	6.71
11 5 2015	6.94
11 6 2015	7.11
11 7 2015	7.2
11 8 2015	7.91
11 9 2015	8.33
11 10 2015	8.54
11 11 2015	8.77
11 12 2015	8.6
11 13 2015	8.45
11 14 2015	8.63
11 15 2015	8.53
11 16 2015	8.4
11 17 2015	8.61
11 18 2015	9.3
11 19 2015	9.2
11 20 2015	9.54
11 21 2015	9.84
11 22 2015	10.72
11 23 2015	11.23
11 24 2015	11.43
11 25 2015	12.18
11 26 2015	13
11 27 2015	13.67
11 28 2015	14.41
11 29 2015	14.82
11 30 2015	15.1
12 1 2015	15.25
12 2 2015	15.65
12 3 2015	16.39
12 4 2015	17.31
12 5 2015	18.2
12 6 2015	19.08
12 7 2015	19.78
12 8 2015	20.51
12 9 2015	21.08
12 10 2015	21.66
12 11 2015	22.19
12 12 2015	22.54
12 13 2015	22.9
12 14 2015 NaN
12 15 2015	22.46
12 16 2015	22.61
12 17 2015	22.54
12 18 2015	22.36
12 19 2015	22.13
12 20 2015	22.02
12 21 2015	21.86
12 22 2015	21.88
12 23 2015	21.94
12 24 2015	21.79
12 25 2015	21.62
12 26 2015	21.55
12 27 2015	21.76
12 28 2015	22.14
12 29 2015	22.16
12 30 2015	22.42
12 31 2015	22.58
1 1 2016	23.1
1 2 2016	23.58
1 3 2016	24.11
1 4 2016	24.77
1 5 2016	25.59
1 6 2016	26.43
1 7 2016	27.15
1 8 2016	27.86
1 9 2016	28.62
1 10 2016	29.48
1 11 2016	29.91
1 12 2016	30.47
1 13 2016	30.35
1 14 2016	30.62
1 15 2016	30.86
1 16 2016	31.54
1 17 2016	31.77
1 18 2016	31.59
1 19 2016	31.37
1 20 2016 NaN
1 21 2016	31.26
1 22 2016	31.11
1 23 2016	31.15
1 24 2016	30.96
1 25 2016	30.8
1 26 2016	30.47
1 27 2016	30.31
1 28 2016	30.03
1 29 2016	29.25
1 30 2016	28.29
1 31 2016	27.38
2 1 2016	26.7
2 2 2016	25.93
2 3 2016	25.45
2 4 2016	24.8
2 5 2016	24.15
2 6 2016	23.27
2 7 2016	22.44
2 8 2016	21.84
2 9 2016	21.22
2 10 2016	20.78
2 11 2016	20.49
2 12 2016	20.47
2 13 2016	20.45
2 14 2016	20.53
2 15 2016	20.75
2 16 2016	21.28
2 17 2016	21.44
2 18 2016	21.45
2 19 2016	21.49
2 20 2016	21.39
2 21 2016	21.1
2 22 2016	20.53
2 23 2016	19.99
2 24 2016	19.58
2 25 2016	18.85
2 26 2016	18.64
2 27 2016 NaN
2 28 2016	18.84
2 29 2016	19.16
3 1 2016	19.48
3 2 2016	19.81
3 3 2016	20.04
3 4 2016	20.38
3 5 2016	20.61
3 6 2016	20.88
3 7 2016	21.17
3 8 2016	21.53
3 9 2016	21.94
3 10 2016	22.2
3 11 2016	23.07
3 12 2016	23.68
3 13 2016	24.26
3 14 2016	24.95
3 15 2016	25.38
3 16 2016	26.02
3 17 2016	26.52
3 18 2016	26.9
3 19 2016	27.42
3 20 2016	27.81
3 21 2016	27.98
3 22 2016	27.93
3 23 2016	27.73
3 24 2016	27.7
3 25 2016	27.72
3 26 2016	27.54
3 27 2016	27.45
3 28 2016	27.35
3 29 2016	27.03
3 30 2016	26.78
3 31 2016	26.5
4 1 2016	26.12
4 2 2016	25.74
4 3 2016	25.23
4 4 2016	24.56
4 5 2016	23.9
4 6 2016	23.4
4 7 2016	23.01
4 8 2016	22.7
4 9 2016	22.49
4 10 2016	22.31
4 11 2016	22.24
4 12 2016	22.24
4 13 2016	22.22
4 14 2016 NaN
4 15 2016 NaN
4 16 2016	22.03
4 17 2016	22.03
4 18 2016 NaN
4 19 2016 NaN
4 20 2016	22.03
4 21 2016	22.03
4 22 2016	20.62
4 23 2016	20.6
4 24 2016	20.53
4 25 2016	20.48
4 26 2016	20.48
4 27 2016	20.45
4 28 2016	20.37
4 29 2016	20.1
4 30 2016	19.68
5 1 2016	19.5
5 2 2016	19.14
5 3 2016	18.66
5 4 2016	18.5
5 5 2016	18.44
5 6 2016	18.66
5 7 2016	19.04
5 8 2016	19.43
5 9 2016	19.96
5 10 2016	20.42
5 11 2016	20.79
5 12 2016	21.14
5 13 2016	21.32
5 14 2016	21.56
5 15 2016	21.64
5 16 2016	21.72
5 17 2016	21.93
5 18 2016	21.89
5 19 2016	21.88
5 20 2016	21.98
5 21 2016	21.77
5 22 2016 NaN
5 23 2016 NaN
5 24 2016	21.47
5 25 2016	21.44
5 26 2016	21.3
5 27 2016	21
5 28 2016	20.87
5 29 2016	20.62
5 30 2016	20.35
5 31 2016	20.21
6 1 2016	20
6 2 2016	19.79
6 3 2016	19.79
6 4 2016	19.86
6 5 2016	19.91
6 6 2016	19.86
6 7 2016	19.84
6 8 2016	19.83
6 9 2016	19.81
6 10 2016	19.68
6 11 2016	19.52
6 12 2016	19.24
6 13 2016	18.69
6 14 2016	18.32
6 15 2016	17.79
6 16 2016	17.19
6 17 2016	16.6
6 18 2016	15.89
6 19 2016	15.34
6 20 2016	14.73
6 21 2016	14.16
6 22 2016	13.64
6 23 2016	13.09
6 24 2016	12.44
6 25 2016	11.86
6 26 2016	11.5
6 27 2016	11.16
6 28 2016	10.7
6 29 2016	10.51
6 30 2016	10.42
7 1 2016	10.17
7 2 2016	9.81
7 3 2016	9.85
7 4 2016	10.07
7 5 2016	10.22
7 6 2016	10.39
7 7 2016	10.57
7 8 2016	10.57
7 9 2016	10.23
7 10 2016	9.85
7 11 2016	9.59
7 12 2016	9.45
7 13 2016	9.72
7 14 2016	10.49
7 15 2016	11.54
7 16 2016	12.39
7 17 2016	12.99
7 18 2016	13.21
7 19 2016	13.26
7 20 2016	12.88
7 21 2016	12.51
7 22 2016	12.02
7 23 2016	11.32
7 24 2016	10.74
7 25 2016	10.27
7 26 2016 NaN
7 27 2016	9.61
7 28 2016	8.95
7 29 2016	8.41
7 30 2016 NaN
7 31 2016 NaN
8 1 2016 NaN
8 2 2016	8.31
8 3 2016	8.71
8 4 2016	8.95
8 5 2016	9.22
8 6 2016	9.39
8 7 2016	9.54
8 8 2016	9.64
8 9 2016	9.82
8 10 2016	10.02
8 11 2016	10.26
8 12 2016	10.76
8 13 2016	14.02
8 14 2016	15.1
8 15 2016	12.84
8 16 2016	11.17
8 17 2016	10.53
8 18 2016	10.41
8 19 2016	10.31
8 20 2016	10.37
8 21 2016	10.47
8 22 2016	10.54
8 23 2016	10.8
8 24 2016	11.24
8 25 2016	11.72
8 26 2016	12.2
8 27 2016	12.48
8 28 2016	12.59
8 29 2016	12.43
8 30 2016	12.27
8 31 2016	12.12
9 1 2016	11.94
9 2 2016	11.59
9 3 2016	11.09
9 4 2016	10.52
9 5 2016	9.96
9 6 2016	9.63
9 7 2016	9.38
9 8 2016	9.18
9 9 2016	9.25
9 10 2016	9.28
9 11 2016	9.29
9 12 2016	9.25
9 13 2016	9.45
9 14 2016	9.23
9 15 2016	9.02
9 16 2016	8.83
9 17 2016	8.69
9 18 2016	8.58
9 19 2016	8.67
9 20 2016	8.98
9 21 2016	9.18
9 22 2016	9.26
9 23 2016 NaN
9 24 2016	9.16
9 25 2016	9.25
9 26 2016	9.31
9 27 2016	9.45
9 28 2016	9.73
9 29 2016	9.8
9 30 2016	9.59
10 1 2016	9.44
10 2 2016	9.24
10 3 2016	9.05
10 4 2016	8.93
10 5 2016	8.75
10 6 2016	8.62
10 7 2016	8.47
10 8 2016	8.1
10 9 2016	8.06
10 10 2016	8.01
10 11 2016	8.11
10 12 2016	8.24
10 13 2016	8.53
10 14 2016	8.51
10 15 2016	8.57
10 16 2016	8.73
10 17 2016	8.94
10 18 2016	9.23
10 19 2016	9.29
10 20 2016	9.41
10 21 2016	9.31
10 22 2016	9.28
10 23 2016	8.98
10 24 2016	8.46
10 25 2016	8.22
10 26 2016	8.09
10 27 2016	7.81
10 28 2016	7.7
10 29 2016	7.61
10 30 2016	7.6
10 31 2016	7.63
11 1 2016	7.92
11 2 2016	8.14
11 3 2016	8.23
11 4 2016	8.08
11 5 2016	7.91
11 6 2016	7.71
11 7 2016	7.37
11 8 2016	7.05
11 9 2016	7.27
11 10 2016	6.78
11 11 2016	6.16
11 12 2016	6.06
11 13 2016	6.08
11 14 2016	6.12
11 15 2016	6.28
11 16 2016	6.24
11 17 2016	6.23
11 18 2016	6.2
11 19 2016	5.91
11 20 2016	5.83
11 21 2016	5.35
11 22 2016	4.96
11 23 2016	4.86
11 24 2016	4.79
11 25 2016	4.49
11 26 2016	4.39
11 27 2016	4.29
11 28 2016	4.53
11 29 2016	4.87
11 30 2016	4.78
12 1 2016	4.68
12 2 2016	4.56
12 3 2016	4.81
12 4 2016	5.34
12 5 2016	5.29
12 6 2016	5.82
12 7 2016	5.64
12 8 2016	5.9
12 9 2016	6.3
12 10 2016	6.18
12 11 2016	6.06
12 12 2016	6.47
12 13 2016	6.9
12 14 2016	7.45
12 15 2016	7.5
12 16 2016	7.6
12 17 2016	7.67
12 18 2016	7.25
12 19 2016	7.3
12 20 2016	6.87
12 21 2016	6.63
12 22 2016	6.64
12 23 2016	6.58
12 24 2016	6.66
12 25 2016	6.74
12 26 2016	6.85
12 27 2016	7.12
12 28 2016	7.47
12 29 2016	8.13
12 30 2016	8.99
12 31 2016	9.74
1 1 2017	10.8
1 2 2017	11.31
1 3 2017	11.39
1 4 2017	11.68
1 5 2017	11.68
1 6 2017	11.74
1 7 2017	12.16
1 8 2017	12.19
1 9 2017	12.28
1 10 2017	12.32
1 11 2017	12.56
1 12 2017	12.45
1 13 2017	12.19
1 14 2017	11.82
1 15 2017	11.65
1 16 2017	11.57
1 17 2017	11.32
1 18 2017	11.08
1 19 2017	10.63
1 20 2017	11.35
1 21 2017	12.32
1 22 2017	13.25
1 23 2017	13.38
1 24 2017	13.72
1 25 2017	14.52
1 26 2017	15.4
1 27 2017	16.27
1 28 2017	16.95
1 29 2017	17.71
1 30 2017	18.1
1 31 2017	18.54
2 1 2017	18.73
2 2 2017	18.94
2 3 2017	19
2 4 2017	19.08
2 5 2017	19.02
2 6 2017	18.97
2 7 2017	18.94
2 8 2017	18.79
2 9 2017	18.34
2 10 2017	17.54
2 11 2017	16.7
2 12 2017	15.64
2 13 2017	14.54
2 14 2017	13.36
2 15 2017	12.41
2 16 2017	11.51
2 17 2017	11.03
2 18 2017	10.9
2 19 2017	11.01
2 20 2017	11.09
2 21 2017	11.33
2 22 2017	11.33
2 23 2017	11.5
2 24 2017	11.42
2 25 2017	11.2
2 26 2017	11.05
2 27 2017	10.91
2 28 2017	10.58
3 1 2017	10.25
3 2 2017	9.79
3 3 2017	9.74
3 4 2017	9.48
3 5 2017	9.06
3 6 2017	8.92
3 7 2017	9.07
3 8 2017	9.11
3 9 2017	9.39
3 10 2017	10.05
3 11 2017	11.05
3 12 2017	12.32
3 13 2017	13.53
3 14 2017	14.55
3 15 2017	15.23
3 16 2017	15.88
3 17 2017	16.34
3 18 2017	16.85
3 19 2017	17.05
3 20 2017	17.16
3 21 2017	17.01
3 22 2017	16.59
3 23 2017	16.05
3 24 2017	15.47
3 25 2017 NaN
3 26 2017	14.05
3 27 2017	13.38
3 28 2017	12.79
3 29 2017	12.25
3 30 2017	12.21
3 31 2017	12.76
4 1 2017	12.36
4 2 2017	12.29
4 3 2017	12.78
4 4 2017	13.58
4 5 2017	14.71
4 6 2017	15.12
4 7 2017	15.3
4 8 2017	15.7
4 9 2017	16.2
4 10 2017	16.83
4 11 2017	17.38
4 12 2017	18.01
4 13 2017	18.59
4 14 2017	19.09
4 15 2017	19.76
4 16 2017	20.23
4 17 2017	20.61
4 18 2017	20.87
4 19 2017	21.03
4 20 2017	21.01
4 21 2017	20.86
4 22 2017	20.72
4 23 2017	20.52
4 24 2017	20.21
4 25 2017	19.92
4 26 2017	19.48
4 27 2017	19.08
4 28 2017	18.73
4 29 2017	18.58
4 30 2017	18.86
5 1 2017	19.32
5 2 2017	19.63
5 3 2017	20.25
5 4 2017	21.44
5 5 2017	21.55
5 6 2017	22.04
5 7 2017	22.54
5 8 2017	22.79
5 9 2017	23.19
5 10 2017	23.45
5 11 2017	23.78
5 12 2017	24.23
5 13 2017	24.83
5 14 2017	25.15
5 15 2017	25.58
5 16 2017	26.05
5 17 2017	26.38
5 18 2017	26.99
5 19 2017	27.37
5 20 2017	27.7
5 21 2017	28.41
5 22 2017	28.88
5 23 2017	29.14
5 24 2017	29.44
5 25 2017	29.64
5 26 2017	29.54
5 27 2017	29.57
5 28 2017	29.55
5 29 2017	29.57
5 30 2017	29.78
5 31 2017 NaN
6 1 2017	29.58
6 2 2017	29.43
6 3 2017	29.35
6 4 2017	29.28
6 5 2017	29.13
6 6 2017	29.1
6 7 2017	29.09
6 8 2017	28.84
6 9 2017	28.65
6 10 2017	28.28
6 11 2017	27.94
6 12 2017	27.65
6 13 2017 NaN
6 14 2017	26.84
6 15 2017	26.46
6 16 2017	25.92
6 17 2017	25.39
6 18 2017	24.83
6 19 2017	24.17
6 20 2017	23.67
6 21 2017	23.72
6 22 2017	22.98
6 23 2017	21.88
6 24 2017	20.98
6 25 2017	20.3
6 26 2017	19.69
6 27 2017	19.1
6 28 2017	18.63
6 29 2017	18.27
6 30 2017	18.15
7 1 2017	17.84
7 2 2017 NaN
7 3 2017	17.35
7 4 2017	17.24
7 5 2017	17.12
7 6 2017	17.09
7 7 2017	16.95
7 8 2017	16.7
7 9 2017	16.54
7 10 2017	16.27
7 11 2017	16.06
7 12 2017	16.06
7 13 2017	16.25
7 14 2017	16.42
7 15 2017	16.62
7 16 2017	16.6
7 17 2017	16.45
7 18 2017	16.15
7 19 2017	15.58
7 20 2017	14.59
7 21 2017	13.64
7 22 2017	12.89
7 23 2017	12.24
7 24 2017	11.81
7 25 2017	11.36
7 26 2017	11.08
7 27 2017	11.17
7 28 2017	10.91
7 29 2017	10.32
7 30 2017	9.69
7 31 2017	9.44
8 1 2017	9.33
8 2 2017	9
8 3 2017	9.06
8 4 2017	9.23
8 5 2017	9.31
8 6 2017	9.57
8 7 2017	9.7
8 8 2017	9.97
8 9 2017	10.42
8 10 2017	10.79
8 11 2017	11.05
8 12 2017	11.23
8 13 2017	11.16
8 14 2017	10.54
8 15 2017	10.04
8 16 2017	9.51
8 17 2017	9.06
8 18 2017	8.82
8 19 2017	8.84
8 20 2017	9.07
8 21 2017	9.37
8 22 2017	9.61
8 23 2017	9.25
8 24 2017	9.08
8 25 2017	8.87
8 26 2017	8.4
8 27 2017	8.07
8 28 2017	7.86
8 29 2017	8.22
8 30 2017	7.89
8 31 2017	7.56
9 1 2017	7.26
9 2 2017	7.79
9 3 2017	8.25
9 4 2017	8.68
9 5 2017	9.04
9 6 2017	9.36
9 7 2017	9.59
9 8 2017	9.93
9 9 2017	10.06
9 10 2017	10.54
9 11 2017	10.66
9 12 2017	10.02
9 13 2017	9.34
9 14 2017	8.88
9 15 2017	8.38
9 16 2017	7.98
9 17 2017	7.67
9 18 2017	7.61
9 19 2017	7.3
9 20 2017	6.76
9 21 2017	6.25
9 22 2017	6.27
9 23 2017	6.08
9 24 2017	5.89
9 25 2017	5.79
9 26 2017	5.42
9 27 2017	5.04
9 28 2017	4.83
9 29 2017	4.65
9 30 2017	4.54
10 1 2017	4.29
10 2 2017	5.31
10 3 2017	5.44
10 4 2017	5.15
10 5 2017	4.86
10 6 2017	4.64
10 7 2017	5.18
10 8 2017	5.5
10 9 2017	5.08
10 10 2017	4.87
10 11 2017	4.7
10 12 2017	4.5
10 13 2017	4.49
10 14 2017	4.35
10 15 2017	4.49
10 16 2017	4.31
10 17 2017	4.7
10 18 2017	4.98
10 19 2017	5.19
10 20 2017	5.49
10 21 2017	6.09
10 22 2017	7
10 23 2017	7.61
10 24 2017	6.77
10 25 2017	6.31
10 26 2017 NaN
10 27 2017 NaN
10 28 2017 NaN
10 29 2017 NaN
10 30 2017 NaN
10 31 2017 NaN
11 1 2017	5.48
11 2 2017	5.32
11 3 2017	5.88
11 4 2017	5.88
11 5 2017	5.24
11 6 2017	5.4
11 7 2017	7.22
11 8 2017	7.4
11 9 2017	7.4
11 10 2017	7.54
11 11 2017	7.43
11 12 2017	7.68
11 13 2017	7.88
11 14 2017	7.78
11 15 2017	7.87
11 16 2017	8.35
11 17 2017	8.83
11 18 2017	9.42
11 19 2017	9.96
11 20 2017	10.25
11 21 2017	10.28
11 22 2017	9.99
11 23 2017	9.62
11 24 2017	8.92
11 25 2017	8.17
11 26 2017	7.53
11 27 2017	6.97
11 28 2017	6.64
11 29 2017	6.57
11 30 2017	6.42
12 1 2017	6.47
12 2 2017	6.72
12 3 2017	6.93
12 4 2017	7.2
12 5 2017	7.52
12 6 2017	7.5
12 7 2017	7.69
12 8 2017	7.62
12 9 2017	6.74
12 10 2017	5.91
12 11 2017	5.43
12 12 2017	5.11
12 13 2017	4.86
12 14 2017	4.74
12 15 2017	4.51
12 16 2017	4.54
12 17 2017	4.76
12 18 2017	4.37
12 19 2017	4.3
12 20 2017	4.34
12 21 2017	4.18
12 22 2017	4.29
12 23 2017	4.47
12 24 2017	4.59
12 25 2017	4.73
12 26 2017	4.95
12 27 2017	5.43
12 28 2017	6.02
12 29 2017	6.3
12 30 2017	6.65
12 31 2017	7.21
1 1 2018	8.21
1 2 2018	9.18
1 3 2018	9.6
1 4 2018	9.82
1 5 2018	9.81
1 6 2018	9.55
1 7 2018	9.27
1 8 2018	9.3
1 9 2018	8.59
1 10 2018	8.06
1 11 2018	7.37
1 12 2018	6.64
1 13 2018	5.71
1 14 2018	5.31
1 15 2018	4.86
1 16 2018	4.81
1 17 2018	4.76
1 18 2018	4.63
1 19 2018	4.47
1 20 2018	4.55
1 21 2018	5.02
1 22 2018	5.43
1 23 2018	5.97
1 24 2018	6.74
1 25 2018	7.41
1 26 2018	8.21
1 27 2018	8.94
1 28 2018	9.9
1 29 2018	9.72
1 30 2018	9.41
1 31 2018	8.85
2 1 2018	8.36
2 2 2018	8.28
2 3 2018	8.39
2 4 2018	8.65
2 5 2018	8.73
2 6 2018	9.2
2 7 2018	9.57
2 8 2018	10.08
2 9 2018	10.58
2 10 2018	11.15
2 11 2018	11.48
2 12 2018	11.82
2 13 2018	11.91
2 14 2018	12.11
2 15 2018	12.16
2 16 2018	12.57
2 17 2018	13.32
2 18 2018	14.39
2 19 2018	15.38
2 20 2018	16.37
2 21 2018	17.16
2 22 2018	17.58
2 23 2018	18.2
2 24 2018	19.17
2 25 2018	20.1
2 26 2018	21.21
2 27 2018	22.09
2 28 2018	22.83
3 1 2018	23.57
3 2 2018	24.22
3 3 2018	24.8
3 4 2018	25.38
3 5 2018	26.03
3 6 2018	26.9
3 7 2018	27.78
3 8 2018	28.61
3 9 2018	29.39
3 10 2018	29.92
3 11 2018	30.45
3 12 2018	30.99
3 13 2018	30.89
3 14 2018	31.18
3 15 2018	31.18
3 16 2018	31.1
3 17 2018	31.41
3 18 2018	31.65
3 19 2018	31.76
3 20 2018	31.77
3 21 2018	31.54
3 22 2018	31.44
3 23 2018	31.27
3 24 2018	31.15
3 25 2018	30.92
3 26 2018	30.64
3 27 2018	30.29
3 28 2018	29.75
3 29 2018	29.19
3 30 2018	28.42
3 31 2018	27.63
4 1 2018	26.99
4 2 2018	26.52
4 3 2018	26.07
4 4 2018	25.84
4 5 2018	25.68
4 6 2018	25.51
4 7 2018	25.83
4 8 2018	26
4 9 2018	26.16
4 10 2018	26.23
4 11 2018	26.36
4 12 2018	26.47
4 13 2018	26.47
4 14 2018	26.56
4 15 2018	26.85
4 16 2018	26.72
4 17 2018	26.63
4 18 2018	26.49
4 19 2018	26.65
4 20 2018	26.56
4 21 2018	26.53
4 22 2018	26.64
4 23 2018	26.86
4 24 2018	26.8
4 25 2018	26.77
4 26 2018	26.76
4 27 2018	26.55
4 28 2018	26.38
4 29 2018	26.23
4 30 2018	25.9
5 1 2018	25.73
5 2 2018	25.55
5 3 2018	25.35
5 4 2018	25.2
5 5 2018	25.16
5 6 2018	25.04
5 7 2018	24.91
5 8 2018	24.75
5 9 2018	24.54
5 10 2018	24.36
5 11 2018	24.01
5 12 2018	23.67
5 13 2018	23.17
5 14 2018	22.65
5 15 2018	22.11
5 16 2018	21.55
5 17 2018	21.1
5 18 2018	20.63
5 19 2018	20.29
5 20 2018	19.92
5 21 2018	19.6
5 22 2018	19.22
5 23 2018	18.84
5 24 2018	18.37
5 25 2018	17.84
5 26 2018	17.48
5 27 2018	17.39
5 28 2018	17.42
5 29 2018	17.51
5 30 2018	17.51
5 31 2018	17.42
6 1 2018	17.35
6 2 2018	17.29
6 3 2018	17.18
6 4 2018	17
6 5 2018	16.94
6 6 2018	16.88
6 7 2018	16.65
6 8 2018	16.39
6 9 2018	16.14
6 10 2018	15.81
6 11 2018	15.59
6 12 2018	15.28
6 13 2018	14.9
6 14 2018	14.25
6 15 2018	13.34
6 16 2018	12.52
6 17 2018	11.78
6 18 2018	11.13
6 19 2018	10.54
6 20 2018	10.12
6 21 2018	9.91
6 22 2018	9.86
6 23 2018	10.06
6 24 2018	10.3
6 25 2018	10.77
6 26 2018	11.12
6 27 2018	11.18
6 28 2018	10.93
6 29 2018	10.69
6 30 2018	10.42
7 1 2018	10.29
7 2 2018	10.43
7 3 2018	10.94
7 4 2018	11.78
7 5 2018	12.62
7 6 2018	13.51
7 7 2018	14.28
7 8 2018	14.89
7 9 2018	15.27
7 10 2018	15.43
7 11 2018	15.42
7 12 2018	15.28
7 13 2018	15.07
7 14 2018	14.75
7 15 2018	14.45
7 16 2018	14.01
7 17 2018	13.7
7 18 2018	13.12
7 19 2018	12.41
7 20 2018	11.64
7 21 2018	10.95
7 22 2018	10.33
7 23 2018	9.77
7 24 2018	9.37
7 25 2018	8.88
7 26 2018	8.46
7 27 2018	8.19
7 28 2018	7.88
7 29 2018	7.78
7 30 2018	7.75
7 31 2018	7.75
8 1 2018	7.72
8 2 2018	7.58
8 3 2018	7.59
8 4 2018	7.4
8 5 2018	7.1
8 6 2018	6.8
8 7 2018	6.58
8 8 2018	6.42
8 9 2018	6.39
8 10 2018	6.22
8 11 2018	6.19
8 12 2018	6.16
8 13 2018	6.07
8 14 2018	6.21
8 15 2018	6.22
8 16 2018	6.23
8 17 2018	6.24
8 18 2018	6.04
8 19 2018	6.12
8 20 2018	6.34
8 21 2018	6.55
8 22 2018	6.73
8 23 2018	6.81
8 24 2018	7
8 25 2018	7.34
8 26 2018	7.3
8 27 2018	7.35
8 28 2018	7.27
8 29 2018	7.24
8 30 2018	7.03
8 31 2018	6.96
9 1 2018	6.99
9 2 2018	6.93
9 3 2018	6.8
9 4 2018	6.92
9 5 2018	7.2
9 6 2018 NaN
9 7 2018 NaN
9 8 2018	6.29
9 9 2018	6.29
9 10 2018	6.57
9 11 2018 NaN
9 12 2018 NaN
9 13 2018 NaN
9 14 2018	7.22
9 15 2018	7.55
9 16 2018	8.18
9 17 2018	9.48
9 18 2018	10.69
9 19 2018	12.01
9 20 2018	13.01
9 21 2018	13.65
9 22 2018	14.35
9 23 2018	14.99
9 24 2018	15.62
9 25 2018	16.17
9 26 2018	16.65
9 27 2018	17.01
9 28 2018	17.27
9 29 2018	17.52
9 30 2018	17.59
10 1 2018	17.69
10 2 2018	17.74
10 3 2018	17.77
10 4 2018	17.62
10 5 2018	17.66
10 6 2018	17.77
10 7 2018	17.85
10 8 2018	18.05
10 9 2018	18.37
10 10 2018	18.68
10 11 2018	18.57
10 12 2018	18.4
10 13 2018	18.3
10 14 2018	18.22
10 15 2018	17.94
10 16 2018	17.7
10 17 2018	17.33
10 18 2018	17.23
10 19 2018	17.33
10 20 2018	17.61
10 21 2018	18.13
10 22 2018	18.84
10 23 2018	19.39
10 24 2018	20.03
10 25 2018	20.59
10 26 2018	20.8
10 27 2018	20.86
10 28 2018	20.85
10 29 2018	20.84
10 30 2018	20.68
10 31 2018	20.4
11 1 2018	20.3
11 2 2018	19.56
11 3 2018	18.96
11 4 2018	18.74
11 5 2018	18.71
11 6 2018	18.84
11 7 2018	19.02
11 8 2018	19.45
11 9 2018	19.74
11 10 2018	20.2
11 11 2018	20.62
11 12 2018	21.02
11 13 2018	21.47
11 14 2018	21.77
11 15 2018	22.16
11 16 2018	22.25
11 17 2018	22.4
11 18 2018	22.61
11 19 2018	22.75
11 20 2018	22.77
11 21 2018	22.83
11 22 2018	22.65
11 23 2018	22.52
11 24 2018	22.42
11 25 2018	22.22
11 26 2018	21.92
11 27 2018	21.47
11 28 2018	21.11
11 29 2018	20.8
11 30 2018	20.59
12 1 2018	20.48
12 2 2018	20.16
12 3 2018	19.71
12 4 2018	19.31
12 5 2018	19.09
12 6 2018	18.85
12 7 2018	18.65
12 8 2018	18.73
12 9 2018	19.03
12 10 2018	19.29
12 11 2018	19.83
12 12 2018	20.32
12 13 2018	21.01
12 14 2018	21.74
12 15 2018	21.97
12 16 2018	22.21
12 17 2018	22.3
12 18 2018	22.65
12 19 2018	22.78
12 20 2018	22.84
12 21 2018	22.58
12 22 2018	22.37
12 23 2018	22.25
12 24 2018	22.19
12 25 2018	22.18
12 26 2018	22.17
12 27 2018	22.22
12 28 2018	22.75
12 29 2018	22.58
12 30 2018	22.61
12 31 2018	22.72
1 1 2019	22.88
1 2 2019	23.03
1 3 2019	23.42
1 4 2019	24.04
1 5 2019	24.53
1 6 2019	24.81
1 7 2019	24.98
1 8 2019	25.21
1 9 2019	25.59
1 10 2019	25.88
1 11 2019	26.03
1 12 2019	26.37
1 13 2019	26.9
1 14 2019	27.22
1 15 2019	27.51
1 16 2019	27.83
1 17 2019	27.98
1 18 2019	28.17
1 19 2019	28.21
1 20 2019	28.23
1 21 2019	28.32
